Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;EG21Z;EG21B;EG22Z;EG22B;EG23Z;EG23B;EG24Z;EG24B
07.03.2025;23:24;A 99;1;2;2;2;3;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:23;A 99;1;0;0;4;11;0;0;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:22;A 99;1;0;0;0;0;1;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:21;A 99;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:20;A 99;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:19;A 99;1;2;2;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:18;A 99;1;2;3;0;0;2;2;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:17;A 99;1;2;2;2;9;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:16;A 99;1;0;0;4;8;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:15;A 99;1;2;2;1;4;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:14;A 99;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:13;A 99;1;1;0;1;3;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:12;A 99;1;2;1;4;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:11;A 99;1;2;2;1;5;1;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:10;A 99;1;2;3;2;2;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:09;A 99;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:08;A 99;1;4;6;6;8;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:07;A 99;1;2;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:06;A 99;1;4;4;2;2;2;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:05;A 99;1;0;0;4;5;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:04;A 99;1;0;0;2;4;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:03;A 99;1;4;6;0;0;2;3;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:02;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:01;A 99;1;0;0;4;7;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:00;A 99;1;0;0;1;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:59;A 99;1;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:58;A 99;1;0;0;2;2;1;3;4;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:57;A 99;1;0;0;2;2;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:56;A 99;1;2;2;4;9;0;0;2;16;1;11;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
07.03.2025;22:55;A 99;1;0;0;1;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:54;A 99;1;2;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:53;A 99;1;2;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:52;A 99;1;0;0;0;0;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:51;A 99;1;0;0;2;2;1;2;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:50;A 99;1;0;0;2;2;1;1;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:49;A 99;1;2;1;2;4;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:48;A 99;1;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:47;A 99;1;0;0;7;11;1;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:46;A 99;1;2;9;6;10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:45;A 99;1;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:44;A 99;1;0;0;3;12;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;22:43;A 99;1;2;1;4;8;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
