Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
21.06.2024;21:59;A182;1;0;0;3;12;1;32;1;10;0;0;0;0;0;0;1;1
21.06.2024;21:58;A182;1;0;0;3;10;3;42;1;19;0;0;0;0;3;4;0;0
21.06.2024;21:57;A182;1;2;12;4;25;1;42;0;0;0;0;1;2;4;4;2;3
21.06.2024;21:56;A182;1;2;4;3;37;4;11;2;28;0;0;0;0;4;73;4;6
21.06.2024;21:55;A182;1;0;0;3;23;2;2;0;0;0;0;2;3;5;7;0;0
21.06.2024;21:54;A182;1;1;15;1;17;5;33;0;0;0;0;0;0;2;17;1;2
21.06.2024;21:53;A182;1;2;2;5;25;4;33;0;0;0;0;0;0;0;0;0;0
21.06.2024;21:52;A182;1;2;10;5;26;1;37;1;3;0;0;0;0;2;7;0;0
21.06.2024;21:51;A182;1;2;2;2;11;0;0;3;83;0;0;1;1;1;2;0;0
21.06.2024;21:50;A182;1;3;2;4;34;0;0;0;0;0;0;1;36;3;34;0;0
21.06.2024;21:49;A182;1;0;0;1;4;2;7;2;5;0;0;0;0;5;14;1;1
21.06.2024;21:48;A182;1;0;0;1;12;3;41;2;17;0;0;1;6;2;1;3;5
21.06.2024;21:47;A182;1;5;37;6;43;4;54;0;0;0;0;0;0;3;4;1;2
21.06.2024;21:46;A182;1;1;5;4;18;3;34;2;4;0;0;2;8;9;12;0;0
21.06.2024;21:45;A182;1;2;3;3;10;1;82;0;0;0;0;4;8;5;4;0;0
21.06.2024;21:44;A182;1;0;15;2;5;0;0;0;0;0;0;4;8;2;3;0;0
21.06.2024;21:43;A182;1;3;40;8;34;2;47;0;38;0;0;0;0;0;0;0;0
21.06.2024;21:42;A182;1;0;6;3;16;1;9;2;43;0;0;0;0;2;4;0;0
