Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
28.09.2024;00:22;A 11;1;3;22;1;10;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;7;1;13;1;4;0;0;0;0
28.09.2024;00:21;A 11;1;6;16;1;61;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;4;10;2;5;1;4;1;4;1;1
28.09.2024;00:20;A 11;1;3;11;1;7;0;0;2;2;3;4;0;0;0;100;0;100;0;0;0;0;0;0;5;11;4;20;2;14;0;0;0;0
28.09.2024;00:19;A 11;1;5;23;1;12;0;0;1;0;1;6;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;11;1;11;0;0;0;0
28.09.2024;00:18;A 11;1;2;43;0;0;1;0;3;2;4;22;0;0;0;100;0;100;0;0;0;0;0;0;3;22;1;55;1;59;0;0;0;0
28.09.2024;00:17;A 11;1;4;14;1;10;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;4;3;8;2;6;0;0;1;2
28.09.2024;00:16;A 11;1;4;25;2;14;0;0;0;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;1;6;3;44;2;15;0;0;0;0
28.09.2024;00:15;A 11;1;1;33;2;5;1;2;2;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;13;2;12;1;1;0;0;1;9
28.09.2024;00:14;A 11;1;2;37;1;7;1;0;2;2;2;2;0;0;0;100;0;100;0;0;0;0;0;0;2;15;4;11;2;17;2;3;1;2
28.09.2024;00:13;A 11;1;2;22;1;56;0;0;2;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;17;2;9;1;8;0;0;0;0
28.09.2024;00:12;A 11;1;1;10;1;3;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;0;0;2;9;1;14;1;3;0;0
28.09.2024;00:11;A 11;1;0;0;2;11;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;7;1;11;1;8;0;0;0;0
28.09.2024;00:10;A 11;1;3;32;1;14;0;0;0;0;2;4;0;0;0;100;0;100;0;0;0;0;0;0;1;9;6;31;1;11;2;3;2;8
28.09.2024;00:09;A 11;1;3;10;1;2;0;0;0;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;4;17;3;23;2;23;0;0;1;35
28.09.2024;00:08;A 11;1;1;10;1;9;0;0;0;0;0;0;1;1;0;100;0;100;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;11
28.09.2024;00:07;A 11;1;0;0;1;9;0;0;3;4;1;2;0;0;0;100;0;100;0;0;0;0;0;0;7;32;2;11;2;10;0;0;2;6
28.09.2024;00:06;A 11;1;3;6;4;12;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;7;1;9;1;9;0;0;0;0
28.09.2024;00:05;A 11;1;4;34;0;0;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;10;2;11;2;8;1;5;0;0
28.09.2024;00:04;A 11;1;4;72;0;0;0;0;1;1;2;2;0;0;0;100;0;100;0;0;0;0;0;0;3;7;2;14;1;18;0;0;0;0
28.09.2024;00:03;A 11;1;2;15;2;3;0;0;4;3;2;3;0;0;0;100;0;100;0;0;0;0;0;0;5;39;4;20;3;26;0;0;1;7
28.09.2024;00:02;A 11;1;1;53;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;33;2;27;0;0;0;0;3;23
28.09.2024;00:01;A 11;1;3;54;2;19;0;0;2;4;1;2;0;0;0;100;0;100;0;0;0;0;0;0;3;26;1;11;0;0;3;3;1;6
28.09.2024;00:00;A 11;1;1;12;2;31;0;0;1;1;2;2;0;0;0;100;0;100;0;0;0;0;0;0;3;18;5;17;2;17;0;0;0;0
27.09.2024;23:59;A 11;1;6;52;2;19;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0
27.09.2024;23:58;A 11;1;5;23;1;7;1;1;1;1;3;6;0;0;0;100;0;100;1;2;0;0;0;0;6;18;1;61;1;17;0;0;0;0
27.09.2024;23:57;A 11;1;1;9;2;26;0;0;3;4;3;6;0;0;0;100;0;100;0;0;0;0;0;0;5;22;6;46;2;25;0;0;1;4
27.09.2024;23:56;A 11;1;4;17;2;13;0;0;2;4;3;4;0;0;0;100;0;100;0;0;0;0;0;0;5;32;4;21;2;20;4;8;0;0
27.09.2024;23:55;A 11;1;3;14;1;9;0;0;0;0;1;1;2;2;0;100;0;100;0;0;0;0;0;0;3;7;2;6;1;80;0;0;3;8
27.09.2024;23:54;A 11;1;1;9;1;9;0;6;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;11;1;2;1;6;0;0;0;0
27.09.2024;23:53;A 11;1;1;26;4;48;1;55;2;3;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;14;1;8;2;3;0;0;2;6
27.09.2024;23:52;A 11;1;3;15;2;30;0;15;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;5;11;3;8;2;10;0;0;0;0
27.09.2024;23:51;A 11;1;3;40;0;0;1;38;2;1;2;4;0;0;0;100;0;100;0;0;0;0;0;0;4;11;1;45;1;15;1;3;0;0
27.09.2024;23:50;A 11;1;5;14;4;22;0;0;1;1;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;7;3;5;1;14;2;8;0;0
27.09.2024;23:49;A 11;1;5;73;0;0;0;0;2;3;1;1;0;0;0;100;0;100;0;0;0;0;0;0;5;26;3;5;1;7;0;0;0;0
27.09.2024;23:48;A 11;1;5;17;0;0;0;0;1;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;1;5;5;15;2;12;0;0;0;0
27.09.2024;23:47;A 11;1;2;25;4;27;0;0;2;5;0;0;0;0;0;100;0;100;0;0;0;0;0;0;3;36;0;16;1;1;0;0;0;0
27.09.2024;23:46;A 11;1;1;50;2;8;0;0;2;3;3;7;0;0;0;100;0;100;0;0;0;0;0;0;2;43;1;39;2;12;4;10;1;1
27.09.2024;23:45;A 11;1;4;31;3;17;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;10;1;5;1;2;0;0;0;0
27.09.2024;23:44;A 11;1;0;0;0;0;0;0;2;3;0;0;0;0;0;100;0;100;0;0;0;0;0;0;3;21;0;0;0;0;0;0;0;0
27.09.2024;23:43;A 11;1;3;5;1;12;0;0;1;2;3;7;1;2;0;100;0;100;1;2;0;0;0;0;2;12;2;40;1;27;0;0;0;0
27.09.2024;23:42;A 11;1;1;93;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;1
27.09.2024;23:41;A 11;1;2;9;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;0;3;5;1;7;0;0;1;4
27.09.2024;23:40;A 11;1;3;6;0;0;0;0;2;2;3;5;0;0;0;100;0;100;0;0;0;0;0;0;6;27;5;58;2;32;0;0;0;0
27.09.2024;23:39;A 11;1;2;65;1;8;1;1;2;2;4;5;0;0;0;100;0;100;0;0;0;0;0;0;10;13;7;62;4;18;0;0;0;0
27.09.2024;23:38;A 11;1;3;19;3;55;0;0;4;11;4;11;0;0;0;100;0;100;0;0;0;0;0;0;2;39;3;38;2;37;0;0;0;0
27.09.2024;23:37;A 11;1;3;27;1;10;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;10
27.09.2024;23:36;A 11;1;2;8;0;0;0;0;2;1;2;2;0;0;0;100;0;100;0;0;0;0;0;0;1;6;4;14;3;16;0;0;2;10
27.09.2024;23:35;A 11;1;1;10;1;7;0;0;3;3;3;3;0;0;0;100;0;100;0;0;0;0;0;0;5;23;5;23;2;18;0;0;0;0
27.09.2024;23:34;A 11;1;2;27;1;21;0;0;2;3;0;0;0;0;0;100;0;100;0;0;0;0;0;0;5;22;1;8;1;2;0;0;0;0
27.09.2024;23:33;A 11;1;1;64;3;64;1;1;4;6;3;9;2;2;0;100;0;100;0;0;0;0;0;0;8;40;1;44;2;28;0;0;0;0
27.09.2024;23:32;A 11;1;5;19;3;10;0;0;2;3;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;31;2;9;1;1;0;0;0;0
