Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D31Z;D31B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B;MP7Z;MP7B;T1_2Z;T1_2B;T5_6Z;T5_6B
03.01.2025;17:53;A134;1;0;0;2;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:52;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:51;A134;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:50;A134;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:47;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:45;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:44;A134;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:43;A134;1;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:41;A134;1;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:40;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:39;A134;1;0;0;3;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:38;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
03.01.2025;17:36;A134;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:35;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:34;A134;1;1;1;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:33;A134;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:31;A134;1;1;15;2;6;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:30;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:27;A134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:24;A134;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:23;A134;1;0;79;2;33;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:22;A134;1;2;18;2;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2025;17:21;A134;1;0;0;2;49;0;0;0;0;0;0;1;2;1;2;1;2;0;0;0;0;0;0
