Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
08.05.2024;18:49;A 13;1;0;100;0;100;0;100;6;79;4;74;4;88;0;0;1;21;3;42;1;1;8;78;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;4;4;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:48;A 13;1;0;100;0;100;5;89;8;33;9;39;4;88;2;4;5;15;1;87;2;1;16;67;3;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:47;A 13;1;0;100;0;100;2;95;4;11;5;30;0;100;2;5;5;14;1;89;3;3;5;85;5;86;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:46;A 13;1;0;100;0;100;1;74;8;81;1;19;3;87;0;0;6;27;2;49;3;3;9;76;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:45;A 13;1;0;100;0;100;1;85;7;43;7;33;4;89;3;8;3;86;2;13;1;1;14;62;3;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:44;A 13;1;0;100;0;100;3;54;4;83;3;65;0;100;5;6;7;12;0;0;0;0;10;41;2;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:43;A 13;1;0;100;0;100;0;0;6;17;4;8;3;89;0;0;7;35;0;0;4;26;6;85;1;73;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:42;A 13;1;0;100;0;100;2;82;9;17;6;25;3;78;1;2;3;7;0;0;3;2;17;57;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:41;A 13;1;0;100;0;100;3;32;1;4;0;100;0;0;1;1;7;39;3;93;2;3;1;98;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:40;A 13;1;0;100;0;100;1;86;4;69;8;25;2;86;0;0;1;18;4;81;0;0;5;88;0;100;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:39;A 13;1;0;100;0;100;2;3;8;35;2;2;2;49;1;2;4;20;1;96;4;3;15;63;4;89;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:38;A 13;1;0;100;0;100;2;35;2;23;2;2;1;90;2;6;4;32;4;92;1;1;6;87;5;82;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:37;A 13;1;0;100;0;100;1;60;7;79;4;79;4;76;7;53;9;22;5;74;4;4;9;47;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:36;A 13;1;0;100;0;100;2;83;9;35;10;46;4;63;1;93;3;5;2;94;6;4;14;60;4;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:35;A 13;1;0;100;0;100;2;76;3;75;3;25;1;95;4;90;7;33;3;91;1;1;6;30;5;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:34;A 13;1;0;100;0;100;1;94;8;84;4;79;2;85;7;75;7;15;1;53;0;0;9;74;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:33;A 13;1;0;100;0;100;3;88;11;53;7;31;4;87;1;96;2;6;1;77;2;1;14;71;5;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:32;A 13;1;0;100;0;100;3;40;2;88;4;32;0;100;8;31;8;14;1;89;2;2;6;86;6;83;3;14;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:31;A 13;1;0;100;0;100;1;41;6;79;7;52;4;84;2;5;7;25;3;60;0;0;10;77;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:30;A 13;1;0;100;0;100;0;0;9;42;3;26;3;74;1;2;3;6;1;42;2;3;12;63;5;86;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:29;A 13;1;0;100;0;100;6;41;2;93;4;22;0;0;7;26;10;27;2;87;2;1;5;90;5;84;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:28;A 13;1;0;100;0;100;1;96;7;11;6;14;3;75;2;13;5;26;1;61;1;2;7;82;0;100;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;3;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:27;A 13;1;0;100;0;100;5;86;10;41;10;32;2;66;2;3;3;25;0;0;6;5;15;50;4;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
