Datum;Uhrzeit;Bezeichnung;Intervall;ReserveZ;ReserveB;V12Z;V12B;V21Z;V21B;V22Z;V22B;V23Z;V23B;V24Z;V24B;D31Z;D31B;D32Z;D32B;AF_T1_T2Z;AF_T1_T2B;AF_T3_T4Z;AF_T3_T4B;AF_BS_32Z;AF_BS_32B;AF_BS_35Z;AF_BS_35B;AF_BS_38Z;AF_BS_38B;AF_BS_41Z;AF_BS_41B
04.12.2024;22:20;A 28;1;0;0;0;0;0;0;8;22;5;38;5;22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:19;A 28;1;0;0;1;9;0;0;2;19;1;47;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:18;A 28;1;0;0;0;0;0;0;6;12;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:17;A 28;1;0;0;0;35;0;0;4;65;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:16;A 28;1;0;0;3;23;0;0;2;3;3;4;1;1;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:15;A 28;1;0;0;5;38;0;0;5;8;4;5;1;2;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:14;A 28;1;0;0;1;17;0;0;3;9;1;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:13;A 28;1;0;0;0;0;0;0;2;4;1;1;0;0;1;22;1;21;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:12;A 28;1;0;0;1;4;0;0;4;9;3;51;0;0;2;29;1;27;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;22:11;A 28;1;0;0;1;2;0;0;2;42;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:10;A 28;1;0;0;0;0;0;0;2;41;3;21;0;0;0;0;1;21;0;0;0;0;1;1;0;0;0;0;0;0
04.12.2024;22:09;A 28;1;0;0;0;0;0;0;7;18;2;9;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:08;A 28;1;0;0;3;8;0;0;4;14;3;10;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:07;A 28;1;0;0;0;0;0;0;1;47;3;31;0;0;0;0;0;0;1;1;0;0;0;0;1;25;0;0;0;0
04.12.2024;22:06;A 28;1;0;0;1;37;0;0;4;24;2;24;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:05;A 28;1;0;0;3;15;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
