Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
23.09.2024;23:32;A 61;1;1;0;1;0;1;0;1;6;1;0;1;1;1;1;1;9;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:31;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:30;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:29;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:28;A 61;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:27;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:26;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:25;A 61;1;1;0;1;1;1;1;1;10;0;0;1;1;1;0;1;8;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:24;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:23;A 61;1;1;0;1;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:22;A 61;1;0;0;0;0;0;0;0;0;0;0;2;1;2;1;2;12;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:21;A 61;1;1;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:20;A 61;1;0;0;0;0;1;1;1;5;0;0;1;0;2;2;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:19;A 61;1;0;0;2;1;1;0;1;8;0;0;1;1;1;1;1;8;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:18;A 61;1;2;0;2;1;2;1;2;11;0;0;2;1;2;2;2;13;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:17;A 61;1;1;1;1;1;1;1;1;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:16;A 61;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:15;A 61;1;1;0;1;1;1;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:14;A 61;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;12;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:13;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:12;A 61;1;1;3;1;3;1;4;2;13;0;0;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:11;A 61;1;1;0;1;0;1;1;1;9;0;0;1;0;1;0;1;4;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:10;A 61;1;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:09;A 61;1;0;0;1;0;1;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:08;A 61;1;0;0;2;1;1;1;1;9;0;0;1;0;1;0;1;5;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:07;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:06;A 61;1;1;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:05;A 61;1;2;1;2;1;2;2;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:04;A 61;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:03;A 61;1;2;0;3;3;3;3;2;27;30;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:02;A 61;1;0;0;1;0;1;1;1;6;8;0;2;2;2;2;2;13;0;0;0;0;0;0;0;0;0;100;0;100
