Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;V61Z;V61B;V62Z;V62B;V81Z;V81B;V82Z;V82B;D53Z;D53B;D54Z;D54B;D55Z;D55B;D63Z;D63B;D64Z;D64B;TA32Z;TA32B;TB32Z;TB32B;TA35Z;TA35B;TB35Z;TB35B;TA36Z;TA36B;TB36Z;TB36B;TA38Z;TA38B;TB38Z;TB38B;TA41Z;TA41B;TB41Z;TB41B
06.03.2024;23:19;A 23;1;0;0;1;6;0;0;2;4;5;20;0;0;0;0;0;0;0;0;0;0;0;0;2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:18;A 23;1;3;10;2;7;0;0;1;13;1;3;0;0;2;15;1;9;0;0;1;24;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:17;A 23;1;0;0;2;4;1;6;2;11;1;19;0;0;1;7;4;16;1;2;0;0;1;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:16;A 23;1;3;8;3;7;0;0;1;17;3;11;0;0;0;0;2;20;0;0;1;5;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:15;A 23;1;2;11;5;8;0;0;3;18;3;48;0;0;0;0;0;0;0;0;0;0;0;0;5;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:14;A 23;1;1;2;0;0;0;0;3;18;3;24;0;0;4;20;1;11;0;0;1;12;0;0;2;22;1;0;1;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:13;A 23;1;0;0;0;0;2;27;2;5;7;20;0;0;1;7;2;14;2;15;0;0;2;19;4;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:12;A 23;1;1;6;3;4;1;2;1;1;1;5;0;0;0;0;1;3;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:11;A 23;1;2;3;0;0;1;5;2;9;4;12;0;0;2;18;1;10;1;2;1;1;1;2;3;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:10;A 23;1;0;0;0;0;2;2;1;21;3;6;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:09;A 23;1;2;10;2;3;2;7;5;12;1;39;0;0;1;13;0;0;2;3;0;0;2;3;6;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0
06.03.2024;23:08;A 23;1;1;3;0;21;1;8;3;11;4;19;0;0;0;0;0;0;1;3;0;0;1;16;3;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:07;A 23;1;0;0;1;7;1;7;3;15;4;45;0;0;0;0;0;0;2;8;0;0;1;16;5;33;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:06;A 23;1;0;0;6;17;1;6;4;8;4;10;0;0;1;14;2;14;0;0;1;1;1;31;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:05;A 23;1;0;0;0;0;1;58;3;19;2;9;0;0;1;1;4;28;3;8;1;35;3;50;2;28;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
