Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;res1Z;res1B;res2Z;res2B;res3Z;res3B;FG-AF_41aZ;FG-AF_41aB;FG-AF_BF41aZ;FG-AF_BF41aB;FG-AF_41bZ;FG-AF_41bB;FG-AF_BF41bZ;FG-AF_BF41bB;A88_MP2Z;A88_MP2B;A117/MP1Z;A117/MP1B;A117_MP2Z;A117_MP2B;A118_MP3Z;A118_MP3B;A117_MP3Z;A117_MP3B;A117_MP4Z;A117_MP4B
15.08.2024;08:34;A117;1;1;48;0;0;12;13;14;29;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;08:33;A117;1;0;0;0;0;12;18;9;11;4;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:32;A117;1;0;0;0;0;7;7;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:31;A117;1;0;0;0;0;10;10;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:30;A117;1;0;0;0;0;17;20;10;12;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:29;A117;1;0;0;0;0;10;38;16;28;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:28;A117;1;2;77;1;66;14;25;18;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:27;A117;1;0;0;0;0;10;49;11;15;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:26;A117;1;0;0;0;0;14;18;17;20;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;;;;;;;;;;
15.08.2024;08:25;A117;1;0;0;0;0;14;16;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:24;A117;1;0;45;0;0;9;15;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:23;A117;1;1;85;0;0;6;5;14;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:22;A117;1;0;0;0;0;5;10;7;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:21;A117;1;0;0;0;0;11;45;13;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:20;A117;1;0;2;0;0;11;14;8;8;5;3;0;0;0;0;1;2;0;0;0;0;0;0;1;2;1;3;;;;;;;;;;
15.08.2024;08:19;A117;1;2;96;0;0;9;11;9;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:18;A117;1;0;0;0;0;13;18;12;12;2;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;
15.08.2024;08:17;A117;1;0;0;0;0;7;9;11;18;4;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:16;A117;1;0;0;0;0;9;8;15;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:15;A117;1;0;0;0;0;10;14;10;11;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:14;A117;1;0;0;0;0;10;9;4;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:13;A117;1;0;0;0;0;6;6;11;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:12;A117;1;0;0;0;0;11;19;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:11;A117;1;0;0;0;0;12;14;10;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:10;A117;1;0;0;0;0;14;20;9;10;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:09;A117;1;0;0;0;42;10;39;6;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:08;A117;1;0;0;0;100;13;12;12;12;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;08:07;A117;1;0;0;1;22;8;11;12;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:06;A117;1;0;51;0;0;7;18;11;22;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:05;A117;1;1;17;0;0;11;17;7;13;1;2;1;2;1;2;0;0;1;2;1;2;1;2;0;0;0;0;;;;;;;;;;
15.08.2024;08:04;A117;1;0;0;0;0;13;14;10;11;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:03;A117;1;0;0;0;0;12;11;9;9;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:02;A117;1;0;0;0;0;8;9;10;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:01;A117;1;0;0;0;0;15;18;10;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:00;A117;1;0;0;0;0;12;64;7;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;07:59;A117;1;0;8;0;0;16;62;9;10;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:58;A117;1;1;52;0;0;16;46;9;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:57;A117;1;0;0;0;0;10;52;7;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;;;;;;;;;;
15.08.2024;07:56;A117;1;0;0;0;0;18;21;12;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;7;;;;;;;;;;
15.08.2024;07:55;A117;1;0;0;0;0;7;10;15;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:54;A117;1;0;0;0;0;17;24;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:53;A117;1;0;0;0;0;18;25;6;7;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:52;A117;1;0;0;0;0;10;6;9;10;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:51;A117;1;1;1;0;0;13;21;10;10;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:50;A117;1;0;0;0;0;10;31;13;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:49;A117;1;0;0;0;0;5;5;17;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;;;;;;;;;;
15.08.2024;07:48;A117;1;0;0;0;0;16;22;10;15;3;2;0;0;0;0;0;0;1;2;1;2;1;2;0;0;0;0;;;;;;;;;;
15.08.2024;07:47;A117;1;0;0;0;0;15;24;8;9;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:46;A117;1;0;0;0;0;10;11;11;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;07:45;A117;1;0;0;0;0;21;23;10;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;;;;;;;;;;
15.08.2024;07:44;A117;1;0;0;0;0;6;5;12;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:43;A117;1;0;0;0;0;12;12;18;27;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:42;A117;1;0;0;0;0;19;20;13;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:41;A117;1;0;0;0;0;12;11;10;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:40;A117;1;0;0;0;0;9;9;16;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:39;A117;1;0;39;0;0;11;17;10;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:38;A117;1;0;100;0;0;8;8;13;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:37;A117;1;1;1;0;0;11;11;15;20;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:36;A117;1;0;0;0;0;10;21;7;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:35;A117;1;0;0;0;0;9;44;15;24;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;07:34;A117;1;0;0;0;0;7;9;14;23;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:33;A117;1;0;0;0;0;16;15;9;20;9;5;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;
15.08.2024;07:32;A117;1;0;0;0;0;7;9;10;11;5;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:31;A117;1;0;0;0;0;10;9;11;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:30;A117;1;0;0;0;0;11;10;12;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:29;A117;1;0;0;0;0;10;39;9;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;07:28;A117;1;1;72;0;0;5;14;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
