Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;IR51Z;IR51B;IR111Z;IR111B
03.03.2025;20:03;A169;1;5;25;5;23;0;0;0;0;0;0;0;0
03.03.2025;20:02;A169;1;7;36;5;30;0;0;0;0;0;0;0;0
03.03.2025;20:01;A169;1;8;17;8;54;1;0;0;0;0;0;0;0
03.03.2025;20:00;A169;1;8;43;4;19;0;0;0;0;0;0;0;0
03.03.2025;19:59;A169;1;5;22;4;58;0;0;0;0;0;0;0;0
03.03.2025;19:58;A169;1;7;26;3;30;1;3;0;0;0;0;0;0
03.03.2025;19:57;A169;1;5;18;4;22;0;0;0;0;0;0;0;0
03.03.2025;19:56;A169;1;6;28;7;35;0;0;0;0;0;0;0;0
03.03.2025;19:55;A169;1;5;16;3;19;0;0;0;0;0;0;0;0
03.03.2025;19:54;A169;1;7;28;4;31;0;0;0;0;0;0;0;0
03.03.2025;19:53;A169;1;10;44;3;39;0;0;0;0;0;0;0;0
03.03.2025;19:52;A169;1;5;11;6;44;1;1;0;0;1;1;0;0
03.03.2025;19:51;A169;1;4;19;2;13;0;0;0;0;0;0;0;0
03.03.2025;19:50;A169;1;8;24;6;28;0;0;0;0;0;0;0;0
03.03.2025;19:49;A169;1;8;46;6;42;0;0;0;0;0;0;0;0
03.03.2025;19:48;A169;1;7;21;7;34;0;0;0;0;0;0;0;0
03.03.2025;19:47;A169;1;7;31;6;48;0;0;0;0;0;0;0;0
03.03.2025;19:46;A169;1;7;19;2;46;0;0;0;0;0;0;0;0
03.03.2025;19:45;A169;1;9;32;5;26;0;0;0;0;0;0;0;0
03.03.2025;19:44;A169;1;7;42;3;27;0;0;0;0;0;0;0;0
03.03.2025;19:43;A169;1;4;12;4;22;0;0;0;0;0;0;0;0
03.03.2025;19:42;A169;1;6;27;3;41;0;0;0;0;0;0;0;0
03.03.2025;19:41;A169;1;6;45;6;43;0;0;0;0;0;0;0;0
03.03.2025;19:40;A169;1;3;8;2;13;0;0;0;0;0;0;0;0
03.03.2025;19:39;A169;1;5;34;3;19;0;0;0;0;0;0;0;0
03.03.2025;19:38;A169;1;7;36;4;26;0;0;0;0;0;0;0;0
03.03.2025;19:37;A169;1;3;16;3;30;0;0;0;0;0;0;0;0
03.03.2025;19:36;A169;1;7;38;3;22;0;0;0;0;0;0;0;0
03.03.2025;19:35;A169;1;4;43;4;45;0;0;0;0;0;0;0;0
03.03.2025;19:34;A169;1;3;14;4;33;0;0;0;0;0;0;0;0
03.03.2025;19:33;A169;1;9;57;6;34;0;0;0;0;0;0;0;0
03.03.2025;19:32;A169;1;10;28;6;58;0;0;0;0;0;0;0;0
03.03.2025;19:31;A169;1;6;15;4;29;0;0;0;0;0;0;0;0
03.03.2025;19:30;A169;1;5;36;4;23;0;0;0;0;0;0;0;0
03.03.2025;19:29;A169;1;8;27;8;57;1;1;0;0;1;1;0;0
03.03.2025;19:28;A169;1;13;28;7;62;0;0;0;0;0;0;0;0
03.03.2025;19:27;A169;1;8;31;4;34;0;0;0;0;0;0;0;0
03.03.2025;19:26;A169;1;9;38;7;65;0;0;0;0;0;0;0;0
03.03.2025;19:25;A169;1;7;35;5;26;0;0;0;0;0;0;0;0
03.03.2025;19:24;A169;1;4;36;3;22;0;0;0;0;0;0;0;0
