Datum;Uhrzeit;Bezeichnung;Intervall;TF31Z;TF31B;TF33Z;TF33B;TBS31Z;TBS31B;TBS32Z;TBS32B;TBS33Z;TBS33B;TS55Z;TS55B;TS57Z;TS57B;VD21Z;VD21B;VD22Z;VD22B;VD81Z;VD81B;VD82Z;VD82B;VD521Z;VD521B
16.01.2024;21:55;A 62;1;4;13;2;3;5;19;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:54;A 62;1;5;11;0;0;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:53;A 62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:52;A 62;1;6;12;0;0;2;16;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:51;A 62;1;2;6;0;0;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:50;A 62;1;2;5;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:49;A 62;1;5;7;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:48;A 62;1;5;11;1;3;1;20;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:47;A 62;1;1;2;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:46;A 62;1;4;8;2;2;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:45;A 62;1;4;6;4;8;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:44;A 62;1;1;6;0;0;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:43;A 62;1;2;8;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:42;A 62;1;4;10;1;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:41;A 62;1;3;9;1;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;21:40;A 62;1;4;12;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
