Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;V31Z;V31B;V32Z;V32B;V33Z;V33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;T1-T2_Anf_32Z;T1-T2_Anf_32B;T3-T4_Anf_38Z;T3-T4_Anf_38B;V14Z;V14B;V40Z;V40B;T5-T6_Anf_31Z;T5-T6_Anf_31B
18.03.2025;21:51;A181;1;0;0;2;2;2;5;0;100;0;0;0;0;1;1;3;43;1;35;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;21:50;A181;1;0;0;1;2;0;0;0;100;0;0;1;2;2;3;2;3;0;0;0;0;0;0;0;0;0;0;1;3;0;0
18.03.2025;21:48;A181;1;0;0;5;31;1;1;0;100;0;0;2;6;3;7;3;6;0;0;0;0;0;0;0;0;1;1;0;0;0;0
18.03.2025;21:47;A181;1;0;0;5;7;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0
18.03.2025;21:46;A181;1;0;0;4;6;0;0;0;100;0;0;1;2;2;4;3;23;0;11;2;2;0;0;0;0;1;1;0;0;0;0
18.03.2025;21:44;A181;1;0;0;5;7;0;0;0;100;0;0;2;6;2;5;4;27;1;1;1;2;0;0;0;0;0;0;0;0;0;0
18.03.2025;21:42;A181;1;0;0;5;75;1;2;0;100;0;0;1;6;2;4;1;1;0;0;1;2;0;0;0;0;2;3;0;0;0;0
18.03.2025;21:41;A181;1;0;0;3;55;0;14;0;100;0;0;2;4;2;3;2;10;2;7;1;30;0;0;0;0;2;3;0;0;0;0
18.03.2025;21:40;A181;1;1;1;5;44;2;42;0;100;0;0;2;11;4;16;0;0;2;43;1;48;0;0;0;0;2;3;3;6;0;0
18.03.2025;21:38;A181;1;1;2;2;3;2;3;0;100;0;0;2;1;1;3;2;47;1;1;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;21:37;A181;1;0;0;3;5;1;2;0;100;0;0;0;0;1;2;0;0;1;45;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;21:36;A181;1;0;0;4;6;1;1;0;100;0;0;2;4;2;4;2;2;1;29;1;2;0;0;0;0;0;0;0;0;0;0
18.03.2025;21:35;A181;1;0;0;3;4;1;3;0;100;0;0;0;0;3;10;1;66;2;53;0;0;1;3;0;0;2;4;2;2;0;0
