Datum;Uhrzeit;Bezeichnung;Intervall;TF41_AFZ;TF41_AFB;TB41_AFZ;TB41_AFB;TF41a_AFZ;TF41a_AFB;TB41a_AFZ;TB41a_AFB
25.07.2024;23:16;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:15;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:14;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:13;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:12;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:11;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:10;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:09;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:08;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:07;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:06;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:05;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:04;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:03;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:02;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:01;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:00;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:59;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:58;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:57;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:56;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:55;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:54;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:53;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:52;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:51;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:50;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:49;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:48;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:47;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:46;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:45;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:44;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:43;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:42;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:41;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:40;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:39;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:38;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:37;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:36;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:35;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:34;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:33;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:32;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:31;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:30;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:29;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:28;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:27;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:26;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:25;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:24;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:23;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:22;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:21;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:20;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:17;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:16;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:13;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:12;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:11;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:10;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:09;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:08;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:07;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:06;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:05;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:04;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:03;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:02;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:01;A115;1;0;0;0;0;0;0;0;0
25.07.2024;22:00;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:59;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:58;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:57;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:56;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:55;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:54;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:53;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:52;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:51;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:50;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:49;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:48;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:47;A115;1;0;0;0;0;0;0;0;0
25.07.2024;21:46;A115;1;0;0;0;0;0;0;0;0
