Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
16.01.2025;15:04;A111;1;4;60;2;56;4;9;2;1;0;0;0;0;0;0
16.01.2025;15:03;A111;1;10;19;3;29;3;13;0;0;0;0;0;0;0;0
16.01.2025;15:02;A111;1;2;4;10;22;5;12;0;0;0;0;0;0;0;0
16.01.2025;15:01;A111;1;5;16;0;0;8;25;0;0;0;0;0;0;0;0
16.01.2025;15:00;A111;1;8;42;3;3;12;20;1;0;0;0;0;0;0;0
16.01.2025;14:59;A111;1;5;69;4;31;6;61;0;0;0;0;0;0;0;0
16.01.2025;14:58;A111;1;4;5;2;11;7;43;0;0;0;0;0;0;0;0
16.01.2025;14:57;A111;1;7;71;0;44;8;57;1;1;0;0;0;0;0;0
16.01.2025;14:56;A111;1;9;64;10;34;7;12;0;0;0;0;0;0;0;0
16.01.2025;14:55;A111;1;4;59;1;75;11;45;0;0;0;0;0;0;0;0
16.01.2025;14:54;A111;1;8;33;2;4;6;41;0;0;0;0;0;0;0;0
16.01.2025;14:53;A111;1;3;21;6;11;9;27;0;0;0;0;0;0;0;0
16.01.2025;14:52;A111;1;4;9;3;38;5;10;0;0;0;0;0;0;0;0
16.01.2025;14:51;A111;1;6;42;5;37;7;16;1;20;0;0;0;0;0;0
16.01.2025;14:50;A111;1;3;6;3;55;4;17;0;0;0;0;0;0;0;0
16.01.2025;14:49;A111;1;3;6;6;13;8;10;0;0;0;0;0;0;0;0
16.01.2025;14:48;A111;1;6;23;1;85;2;14;1;1;0;0;0;0;0;0
16.01.2025;14:47;A111;1;7;10;2;82;8;18;0;0;0;0;0;0;0;0
16.01.2025;14:46;A111;1;4;7;4;75;12;18;1;1;0;0;0;0;0;0
16.01.2025;14:45;A111;1;4;26;5;19;5;44;0;0;0;0;0;0;0;0
16.01.2025;14:44;A111;1;6;42;1;12;8;20;0;0;0;0;0;0;0;0
16.01.2025;14:43;A111;1;6;15;5;12;10;56;0;0;0;0;0;0;0;0
16.01.2025;14:42;A111;1;5;65;2;8;8;15;0;0;0;0;0;0;0;0
16.01.2025;14:41;A111;1;4;19;0;0;6;13;1;1;0;0;0;0;0;0
16.01.2025;14:40;A111;1;3;19;0;0;3;22;1;0;0;0;0;0;0;0
16.01.2025;14:39;A111;1;6;13;1;67;10;27;0;0;0;0;0;0;0;0
16.01.2025;14:38;A111;1;3;45;3;48;9;51;0;0;0;0;0;0;0;0
16.01.2025;14:37;A111;1;4;27;3;6;12;66;1;1;0;0;0;0;0;0
16.01.2025;14:36;A111;1;4;85;4;27;7;15;0;0;0;0;0;0;0;0
16.01.2025;14:35;A111;1;7;30;1;55;5;54;2;0;0;0;0;0;0;0
16.01.2025;14:34;A111;1;3;2;1;2;5;8;0;0;0;0;0;0;0;0
16.01.2025;14:33;A111;1;4;4;3;3;7;21;0;0;0;0;0;0;0;0
16.01.2025;14:32;A111;1;3;9;2;16;6;44;0;0;0;0;0;0;0;0
16.01.2025;14:31;A111;1;4;6;3;38;5;12;0;0;0;0;0;0;0;0
16.01.2025;14:30;A111;1;5;37;8;47;7;11;0;0;0;0;0;0;0;0
16.01.2025;14:29;A111;1;2;63;5;43;5;22;1;0;0;0;0;0;0;0
16.01.2025;14:28;A111;1;6;74;2;57;3;12;0;0;0;0;0;0;0;0
