Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
17.01.2025;22:48;A 10;1;3;6;4;6;2;3;0;0;0;100;0;100;2;4;2;3;5;52;1;51;0;0;0;0;0;0;0;0;1;1;3;4
17.01.2025;22:47;A 10;1;2;2;0;0;1;2;0;0;0;100;0;100;1;2;2;5;3;6;0;0;0;0;0;0;0;0;0;0;0;0;3;5
17.01.2025;22:46;A 10;1;0;0;3;4;0;0;0;0;0;100;0;100;1;1;3;5;1;2;0;54;1;38;0;0;0;0;0;0;0;0;1;2
17.01.2025;22:45;A 10;1;1;2;1;0;3;4;0;0;0;100;0;100;3;5;0;0;0;0;2;50;0;33;0;0;0;0;0;0;1;3;1;1
17.01.2025;22:44;A 10;1;2;5;2;2;2;2;0;0;0;100;0;100;1;2;1;1;2;5;2;62;1;37;0;0;0;0;0;0;0;0;1;2
17.01.2025;22:43;A 10;1;2;4;3;4;1;1;1;2;0;100;0;100;1;2;0;0;0;0;1;80;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:42;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;1;1;1;1;4;7;0;0;0;0;0;0;0;0;0;0;1;81;0;0
17.01.2025;22:41;A 10;1;0;0;3;4;0;0;0;0;0;100;0;100;1;1;3;4;2;6;0;0;0;0;0;0;0;0;0;0;1;8;3;5
17.01.2025;22:40;A 10;1;1;2;2;3;0;0;0;0;0;100;0;100;2;2;1;5;3;6;1;3;0;0;0;0;0;0;0;0;0;0;3;4
17.01.2025;22:39;A 10;1;1;1;1;2;0;0;0;0;0;100;0;100;4;6;4;5;1;2;1;47;1;1;0;0;0;0;0;0;0;0;3;5
17.01.2025;22:38;A 10;1;0;0;2;3;0;0;0;0;0;100;0;100;3;4;3;4;3;7;2;41;0;0;0;0;0;0;0;0;0;0;1;1
17.01.2025;22:37;A 10;1;2;3;1;2;0;0;0;0;0;100;0;100;0;0;2;3;0;0;1;39;1;3;0;0;0;0;0;0;0;0;4;7
17.01.2025;22:36;A 10;1;0;0;0;0;1;2;0;0;0;100;0;100;0;0;1;1;1;2;4;59;0;0;1;5;0;0;1;2;0;0;1;1
17.01.2025;22:35;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;1;1;3;7;3;5;1;77;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2025;22:34;A 10;1;0;0;2;3;1;2;0;0;0;100;0;100;0;0;2;3;2;5;1;19;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:33;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;0;0;4;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:32;A 10;1;1;9;0;0;1;1;1;0;0;100;0;100;1;2;1;1;2;5;1;50;1;2;0;0;0;0;0;0;0;0;3;4
