Datum;Uhrzeit;Bezeichnung;Intervall;V51_A9/M2_510Z;V51_A9/M2_510B;H51_A135/1_492Z;H51_A135/1_492B;A51_M1_493Z;A51_M1_493B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_1290/12XZ;A55_M2_1290/12XB;MP3_SL_A110Z;MP3_SL_A110B;Anf_32Z;Anf_32B
03.12.2024;22:13;A 74;1;0;0;0;0;0;0;0;0;1;13;0;0;0;0
03.12.2024;22:12;A 74;1;0;0;2;53;3;19;2;11;1;20;1;1;1;1
03.12.2024;22:11;A 74;1;0;0;1;14;2;4;0;0;0;0;0;0;0;0
03.12.2024;22:10;A 74;1;0;0;2;13;2;14;1;3;0;0;0;0;0;0
03.12.2024;22:09;A 74;1;0;0;0;0;1;9;0;0;0;0;0;0;0;0
03.12.2024;22:08;A 74;1;0;0;1;12;4;30;0;0;0;0;0;0;0;0
03.12.2024;22:07;A 74;1;0;0;0;0;2;20;0;0;0;0;0;0;0;0
03.12.2024;22:06;A 74;1;3;5;3;28;0;7;0;0;0;0;0;0;0;0
03.12.2024;22:05;A 74;1;1;8;0;0;3;16;0;0;0;0;0;0;0;0
03.12.2024;22:04;A 74;1;0;0;1;5;2;14;0;0;1;7;0;0;0;0
03.12.2024;22:03;A 74;1;0;0;3;29;2;11;0;0;1;7;0;0;0;0
03.12.2024;22:02;A 74;1;0;0;0;0;0;23;0;0;1;18;0;0;0;0
03.12.2024;22:01;A 74;1;0;0;3;25;2;44;0;0;1;18;1;1;0;0
03.12.2024;22:00;A 74;1;0;0;2;19;3;8;0;0;0;0;1;1;0;0
03.12.2024;21:59;A 74;1;3;9;1;10;7;18;0;0;0;0;0;0;0;0
03.12.2024;21:58;A 74;1;0;0;0;0;2;75;0;0;1;27;0;0;0;0
03.12.2024;21:57;A 74;1;0;0;2;30;4;23;0;0;0;0;1;1;0;0
03.12.2024;21:56;A 74;1;3;3;0;0;0;95;0;0;0;0;0;0;0;0
03.12.2024;21:55;A 74;1;0;0;0;0;1;82;0;0;0;0;0;0;0;0
03.12.2024;21:54;A 74;1;0;0;1;8;2;11;0;0;0;0;0;0;0;0
03.12.2024;21:53;A 74;1;0;0;1;9;2;32;0;0;0;0;0;0;0;0
03.12.2024;21:52;A 74;1;2;1;2;17;2;6;0;0;0;0;0;0;0;0
03.12.2024;21:51;A 74;1;0;0;0;0;2;33;0;0;0;0;0;0;0;0
03.12.2024;21:50;A 74;1;0;0;2;31;3;24;0;0;0;0;0;0;0;0
03.12.2024;21:49;A 74;1;0;0;2;18;4;20;0;0;0;0;0;0;0;0
03.12.2024;21:48;A 74;1;0;0;0;0;5;37;2;2;1;7;0;0;0;0
03.12.2024;21:46;A 74;1;1;3;1;15;0;100;0;0;1;14;0;0;0;0
03.12.2024;21:44;A 74;1;0;0;1;8;3;22;1;2;1;1;1;1;0;0
03.12.2024;21:33;A 74;1;0;0;1;18;7;48;1;1;0;0;0;0;0;0
03.12.2024;20:27;A 74;1;0;0;2;22;2;22;0;0;0;12;0;0;0;0
03.12.2024;20:24;A 74;1;0;0;3;26;0;100;0;0;1;24;1;1;1;1
03.12.2024;19:41;A 74;1;2;1;2;26;3;40;1;5;0;0;1;1;0;0
03.12.2024;19:40;A 74;1;1;5;2;10;1;78;0;0;1;7;0;0;0;0
03.12.2024;19:28;A 74;1;0;0;3;26;4;39;2;5;0;2;1;1;0;0
03.12.2024;19:20;A 74;1;0;0;1;7;2;62;1;44;1;9;0;0;1;1
03.12.2024;19:16;A 74;1;3;10;0;35;0;39;0;0;1;9;0;0;0;0
03.12.2024;19:15;A 74;1;0;0;2;46;1;43;1;2;2;25;1;1;0;0
03.12.2024;19:13;A 74;1;0;0;2;18;5;38;1;0;0;1;0;0;0;0
03.12.2024;19:05;A 74;1;0;0;0;0;5;9;0;0;0;0;0;0;0;0
03.12.2024;19:02;A 74;1;1;11;2;23;1;40;1;3;1;4;0;0;0;0
03.12.2024;18:49;A 74;1;5;19;2;57;1;44;1;25;2;22;0;0;1;1
03.12.2024;17:40;A 74;1;2;18;3;51;2;67;0;0;3;29;1;1;0;0
03.12.2024;17:25;A 74;1;1;6;2;47;1;44;1;4;0;17;0;0;0;0
03.12.2024;16:56;A 74;1;4;18;1;9;1;91;1;2;1;39;0;0;0;0
03.12.2024;16:09;A 74;1;1;4;2;57;2;16;0;0;0;24;0;0;0;0
03.12.2024;16:05;A 74;1;1;2;1;22;1;23;1;61;1;14;0;0;1;1
03.12.2024;16:02;A 74;1;0;0;3;41;5;59;2;27;1;25;2;3;1;3
03.12.2024;15:58;A 74;1;0;16;2;53;0;45;1;2;0;11;0;0;0;0
03.12.2024;15:57;A 74;1;1;4;4;57;1;53;0;0;1;1;0;0;0;0
03.12.2024;15:29;A 74;1;0;0;1;61;2;97;4;16;1;14;1;1;2;3
03.12.2024;14:46;A 74;1;0;0;1;94;1;50;2;19;0;12;2;3;2;3
03.12.2024;14:04;A 74;1;0;0;3;27;1;53;1;1;1;5;1;1;0;0
03.12.2024;13:42;A 74;1;0;2;2;20;1;26;0;0;1;3;0;0;1;2
03.12.2024;13:07;A 74;1;0;0;2;41;3;36;0;0;1;29;2;3;1;1
03.12.2024;12:56;A 74;1;0;0;2;56;1;46;4;23;1;14;1;1;0;0
03.12.2024;12:38;A 74;1;0;100;2;14;3;67;0;0;1;7;0;0;0;0
