Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
03.12.2024;22:26;A 96;1;0;100;0;100;0;0;0;0;0;0;3;3;2;2;0;0;0;0;0;0
03.12.2024;22:25;A 96;1;0;100;0;100;0;33;0;0;0;0;2;1;1;1;0;0;0;0;0;0
03.12.2024;22:24;A 96;1;0;100;0;100;1;66;0;0;0;0;1;1;0;0;1;2;1;2;0;0
03.12.2024;22:23;A 96;1;0;100;0;100;1;25;0;0;0;0;4;3;3;3;0;0;0;0;0;0
03.12.2024;22:22;A 96;1;0;100;0;100;1;1;0;0;0;0;2;2;1;1;0;0;0;0;0;0
03.12.2024;22:21;A 96;1;0;100;0;100;1;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0
03.12.2024;22:20;A 96;1;0;100;0;100;1;57;0;0;0;0;4;3;2;2;0;0;0;0;0;0
03.12.2024;22:19;A 96;1;0;100;0;100;2;65;0;0;1;38;2;2;3;4;0;0;0;0;0;0
03.12.2024;22:18;A 96;1;0;100;0;100;3;56;0;0;0;0;2;3;1;3;0;0;0;0;0;0
03.12.2024;22:17;A 96;1;0;100;0;100;2;41;1;23;1;45;1;1;2;2;0;0;0;0;0;0
03.12.2024;22:16;A 96;1;0;100;0;100;1;3;0;0;0;2;4;4;5;5;0;0;0;0;0;0
03.12.2024;22:15;A 96;1;0;100;0;100;1;20;0;0;1;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:14;A 96;1;0;100;0;100;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:13;A 96;1;0;100;0;100;3;44;1;39;2;32;1;1;0;0;0;0;0;0;0;0
03.12.2024;22:12;A 96;1;0;100;0;100;1;56;0;26;0;29;2;4;1;2;0;0;0;0;0;0
03.12.2024;22:11;A 96;1;0;100;0;100;0;0;3;62;1;3;0;0;0;0;0;0;0;0;0;0
