Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D28Z;D28B;D29Z;D29B;D70Z;D70B;H53-Bahn_M1_Z;H53-Bahn_M1_B;A53-Bahn_M2_Z;A53-Bahn_M2_B;H53-Bus_M3_Z;H53-Bus_M3_B;A53-Bus_M4_Z;A53-Bus_M4_B;STRAB_53dZ;STRAB_53dB;STRAB_57dZ;STRAB_57dB;Anf_32Z;Anf_32B;Anf_38Z;Anf_38B;FeuerwehrZ;FeuerwehrB
20.12.2024;23:36;A 12;1;3;5;1;1;0;0;0;0;0;50;2;2;1;2;0;0;2;3;2;66;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:35;A 12;1;0;0;2;1;0;0;1;1;2;24;4;7;0;0;1;32;2;2;3;57;0;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:34;A 12;1;1;0;1;1;0;0;0;0;0;0;3;2;1;2;1;1;1;0;3;59;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:33;A 12;1;0;0;4;3;3;2;0;0;0;0;4;4;0;0;0;0;1;1;1;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:32;A 12;1;0;0;2;1;0;0;0;0;0;0;4;6;2;2;1;4;2;3;2;57;3;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:31;A 12;1;3;7;3;3;0;0;1;1;1;1;5;8;3;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
20.12.2024;23:30;A 12;1;1;1;2;2;0;0;0;0;0;0;2;3;0;0;0;0;2;4;2;26;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:29;A 12;1;3;6;0;0;0;0;2;16;0;45;3;4;1;1;0;0;1;2;0;16;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:28;A 12;1;3;4;0;0;0;0;1;59;2;43;4;5;2;3;0;0;1;0;2;48;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:27;A 12;1;0;0;0;0;0;0;0;0;0;0;3;2;0;0;3;15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:26;A 12;1;0;0;2;3;1;1;0;0;0;0;4;2;4;4;0;4;1;1;1;3;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:25;A 12;1;1;2;4;3;1;1;1;31;1;30;1;1;1;1;1;30;1;1;1;37;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
